Resumption of the session	Reinício da sessão
So what do we need to happen immediately?	Então, de que precisamos a nível imediato?
We need technical testing of ships, that is obligatory technical testing every two years, and no ship to be operated without the accompanying certificate.	Necessitamos de uma inspecção técnica de navios, nomeadamente uma inspecção técnica obrigatória de navios, a realizar em cada dois anos e sem cujo certificado nenhum navio possa ser utilizado.
We need this at European level and internationally; we need something like a TÜV, an organisation that undertakes technical testing of motor vehicles in Germany, which is compulsory every two years.	Precisamos desta instância a nível europeu, precisamos dela também a nível internacional, tal e qual como o TÜV, a inspecção técnica de veículos que é obrigatório realizar de dois em dois anos na Alemanha.
If you do not have a certificate then you are not allowed to operate the vehicle.	Sem o comprovativo da sua realização, nenhuma viatura pode ser utilizada.
This is what we need for ships.	É precisamente de um mecanismo destes que precisamos para navios.
Thirdly, we need to carry out checks on these safety and insurance certificates in the ports, that is in every port of the European Union.	Em terceiro lugar, precisamos de que haja um controlo destes certificados e das apólices de seguro nos vários portos, nomeadamente em cada porto da União Europeia.
Any failure to produce these certificates must lead to the ship being laid up and prohibited from leaving the port, regardless of all the port charges.	Quando este certificado e o comprovativo do seguro não existirem, nesse caso o navio terá de ficar impedido de navegar, não podendo abandonar o porto mesmo que tenha pago todas as taxas portuárias.
We must reach agreement here, in all the European Union' s ports, from Marseilles, through to Rotterdam, to Wilhelmshaven, Cuxhaven, and wherever ships drop anchor.	Temos de ter um consenso nesta matéria, abrangendo todos os portos da União Europeia, desde Marselha, passando por Roterdão e indo até Wilhelmshaven, Cuxhaven e seja lá onde for mais que haja navios a fazer escala.
Fourthly, we need the shipowner to bear liability, and not just to the tune of a derisory USD 12 million, but to the value of at least USD 400 million, to be covered per insurance certificate.	Em quarto lugar, necessitamos da responsabilidade do armador e não apenas de uns ridículos 12 milhões de dólares, precisamos de pelo menos 400 milhões de dólares, a depositar obrigatoriamente pelo armador por cada certificado de seguro.
We also need the country whose flag the ship flies to bear liability.	Depois, necessitamos da responsabilidade do país, cujo pavilhão o navio ostenta.
We need to be sure that if need be, the country whose flag the ship is flying will accept liability.	É necessária a garantia por parte do país, com cujo pavilhão o navio se desloca, de que assume a responsabilidade em caso de dúvida.
This would be a marvellous exercise in supervision!	Vai ser um controlo fantástico!
I can assure you that those countries awarding flags would then take great care to avoid having to accept liability.	Posso garantir aos colegas que, num caso destes, os países que atribuem pavilhões de conveniência, vão ter todo o cuidado para não terem de assumir responsabilidades.
In the fifth place, we need there to be a guarantee that these demands will apply to all ships using the ports and waterways of the European Union, and incidentally, that includes the candidate countries.	Quinto: precisamos da garantia de que estes requisitos serão exigidos a todos os navios, em todos os portos e águas territoriais da União Europeia, inclusive nos países candidatos à adesão. Quer isto dizer que todos os requisitos, que indiquei, serão válidos para todas as águas territoriais.
Last but not least, we need a long memory, for the issue of legislation will crop up on the agenda more frequently in the near future.	Por último, o mais importante de tudo: necessitamos de ter uma boa memória, pois nos próximos tempos vamos aqui falar com mais frequência acerca de legislação.
Environmental standards will be a recurring theme.	Também vamos falar com mais frequência sobre normas ambientais.
I would not like to have someone coming and saying that these requirements will lead to job losses in the ports.	Nessa altura eu não gostaria que aqui chegasse alguém a dizer: os vossos requisitos fazem com que se estejam a perder postos de trabalho nos portos.
The unions will have something to say as will industry.	E depois vêm os sindicatos, vem a indústria.
A long memory will serve us well, ladies and gentlemen.	É por isso, caros colegas, que precisamos de ter uma boa memória.
I am looking at all those of you who have not exactly been at the forefront of the environmental movement.	Estou a olhar para alguns de vós, que até agora não têm estado na vanguarda do movimento ecologista.
Just you go home and say: " we have not concerned ourselves with standards to date" . We need to have a long memory when it comes to the demands being made in the ports.	Vão para os vossos países e digam: não nos temos preocupado até agora com as normas, mas precisamos de uma boa memória para providenciar aquilo que vai ser exigido nos portos.
We need to have a long memory when we say: " for once we are united, at last as far as port charges and requirements are concerned, and will not play one off against the other in the European Union."	Precisamos de uma boa memória quando dizemos: vamos falar a uma só voz no que se refere a taxas portuárias e requisitos a cumprir pelos portos e não vamos estar uns contra os outros na União Europeia.
If we succeed in this then perhaps we will be better off in a few years' time!	Se conseguirmos isto, dentro de alguns anos vamos certamente estar bastante melhor do que estamos agora!
Mr President, Mrs Roth-Behrendt expressed very many of my own thoughts.	Senhor Presidente, a senhora deputada Roth-Behrendt já se antecipou a muito do que eu tinha para dizer.
We have now obtained a first-rate enumeration of a variety of measures.	Foi-nos apresentada uma enumeração perfeita das várias medidas.
But how do we make use of the sense of crisis to which this ecological disaster has led?	Mas como devemos utilizar a consciência de crise que esta catástrofe ecológica despertou?
I would compare the situation with an earlier generation' s introduction of the Plimsoll line, a marking which was introduced to prevent insurance fraud involving inferior vessels.	Comparo esta situação com a de uma geração anterior, que introduziu a marca de linha de flutuação, para evitar fraudes nas cargas dos navios em relação às seguradoras.
Where is the sense of crisis which generations before us had?	Onde está a mesma consciência de crise das gerações que nos precederam?
I consider that what we should adopt is the form of certification that Mrs Roth-Behrendt speaks about, the identification in the form of green marks on tankers which certain harbours in Europe have brought up for discussion.	Considero que devemos adoptar a certificação que a senhora deputada Roth-Behrendt refere, a marca verde que alguns portos europeus têm proposto para os navios-tanques.
We must also critically examine the classification societies.	Além disso, temos de fazer uma avaliação crítica das entidades que procedem às classificações.
I do not think that we can accept their procedures.	Parece-me que não podemos aceitar os seus processos.
We need independent procedures and procedures involving public control.	Precisamos de processos independentes e transparentes.
Finally, I want to say that, when my country provides environmental aid to shipowners who wish to improve the quality of the environment, there are units within the Commission who regard this as prohibited aid to shipyards.	Por último, gostaria de referir que, quando o meu país atribui subsídios ambientais aos armadores que querem tomar medidas em defesa do ambiente, há entidades na Comissão que consideram tratar-se de uma forma proibida de subsídio à construção naval.
Within the Commission, the one hand does not know what the other hand is doing.	Parece que uma mão da Comissão não sabe o que faz a outra.
It is not an acceptable procedure that measures to improve the environment, which are in keeping with the Commission' s guidelines, cannot be taken because these are considered to constitute prohibited aid to shipyards.	É inaceitável que não se possam tomar medidas de protecção ambiental, que estão em conformidade com as directrizes da Comissão, por serem consideradas formas proibidas de subsídio.
Mr President, we shall vote in favour of the GUE/NGL Group resolution because it denounces Total-Fina' s responsibility in this ecological disaster and I endorse the proposal that flags of convenience and the use of superannuated vessels should be prohibited, or that double hulls should be mandatory for oil tankers.	Senhor Presidente, votaremos a favor da resolução do Grupo GUE/NGL porque ela denuncia a responsabilidade da companhia Total-Fina nesta catástrofe ecológica e porque subscrevo a proposta de proibir os pavilhões de conveniência e a utilização de navios muito velhos ou de impor a obrigação de casco duplo para os navios petroleiros.
I shall only add that it would be the least that Total could do to compensate for the direct and indirect damage caused by the oil slick.	Acrescentarei, apenas, que a Total deveria, no mínimo, financiar integralmente a reparação dos danos directos e indirectos da maré negra.
How can we stop similar disasters occurring in future if we do not institute draconian measures against the major oil corporations, and indeed many others who, in order to make more profit, take the risk of making the world uninhabitable?	Como podemos impedir que se voltem a verificar catástrofes semelhantes sem impor medidas draconianas contra os grandes grupos petrolíferos como, aliás, contra outras companhias que, para terem mais lucros, correm o risco de tornar impossível vivermos no nosso planeta ?
How is it possible not to be outraged when a bank refuses to divulge the names of the Erika' s owners on the grounds of professional confidentiality, without governments reacting?	Como não nos sentirmos indignados quando um banco recusa revelar o nome dos proprietários do Erika, invocando o sigilo bancário, sem que os governos reajam ?
The crux of the problem is that all governments, and indeed all the European institutions, acknowledge the right of major corporations such as Total-Fina and its ilk to maximise profits whether it be harmful to their employees or to the environment.	O fundo da questão reside no facto de todos os governos, como todas as instituições europeias, reconhecerem aos grandes grupos como Total-Fina e quejandos o direito de aumentarem os seus lucros, tanto em detrimento dos seus assalariados como em detrimento do meio ambiente.
They accept the professional confidentiality of business and banks, even though this same confidentiality serves to conceal what are essentially criminal actions.	Reconhecem às empresas e aos bancos o direito ao sigilo nos seus negócios, mesmo que tal sigilo proteja actos verdadeiramente criminosos.
In these circumstances, even the best resolutions will remain little more than appeals to principle which are powerless to limit the great corporations' capacity to cause damage.	Nestas condições, até as melhores resoluções se manterão petições de princípio, incapazes de impedir os grandes grupos de prejudicar terceiros.
Mr President, I am in favour of tightening up the legislation on port state control and on classification societies.	Senhor Presidente, caros colegas, sou a favor do agravamento das normas de controlo portuárias e das normas sobre sociedades de classificação dos navios por categorias de risco.
However, we must stick to the facts. The ship Erika has been investigated four times in the course of the last two years.	No entanto, temos de nos cingir aos factos e estes dizem-nos que, nos últimos dois anos, o navio Erika foi inspeccionado quatro vezes.
The answer cannot lie in the number of investigations but rather in guaranteeing the rigour with which the controls are undertaken.	O problema não pode ter a ver com o número de inspecções, o que é preciso é garantir o seu rigor.
I have heard in the course of the discussions that have taken place in the last few weeks that the Member States do not have enough money to undertake the controls.	Nas discussões das últimas semanas tenho ouvido dizer que os Estados-Membros não têm dinheiro suficiente para realizar os necessários controlos.
I cannot accept this.	Não posso aceitar uma coisa destas.
If the Member States decide, in agreement with ourselves, that 25% of ships are to be monitored on the basis of port state control, then they must also make the necessary personnel available.	Se os Estados-Membros decidirem connosco que 25% dos navios são controlados com base nas normas de controlo portuário, nesse caso terão também de disponibilizar o pessoal necessário para o efeito.
The controls must also be carried out in such a way that the inspector does not just go on board and check whether there are any fire extinguishers missing, rather there must be materials testing, for this ship obviously broke up on account of material fatigue.	É que, nesse caso, os controlos terão de ser efectuados de modo que o inspector não vá apenas a bordo "espreitar" para ver se algures falta um extintor, os controlos terão de incluir ensaios de material, pois, tudo leva a crer que o navio, de que estamos a falar, partiu devido a fadiga do material.
This can only be detected if controls undertaken are more rigorous.	Este tipo de situação apenas pode ser detectado se os controlos forem efectuados com grande rigor e intensidade.
It should be our goal to ensure that port state controls are not superficial, but include materials testing.	O nosso objectivo devia ser garantir que as normas de controlo portuário não sejam superficiais, mas que incluam também o ensaio dos materiais.
Secondly, I also share the Commissioner' s observations and would like to encourage her to continue down this path.	Em segundo lugar, partilho das ideias da senhora Comissária e gostaria de a incentivar a prosseguir por este caminho.
If it should become apparent that one or more classification companies have provided reports by way of favours then they should be struck off the list of authorised classification companies.	Se vier a apurar-se que uma ou mais sociedades de classificação dos navios por categorias de risco emitiram pareceres de favor, nesse caso o seu lugar será serem desclassificadas da lista de sociedades autorizadas do ramo.
That is the only deterrent we have for preventing other classification companies from following suit.	Será esta a única forma de dissuadir outras sociedades de também emitirem pareceres de favor.
Mrs Roth-Behrendt, we already have a TÜV (organisation for safety testing) for ships in the form of the classification companies.	Cara colega Roth-Behrendt, já existe o TÜV para navios. As sociedades de classificação de navios por categorias de risco são o TÜV para os navios!
There are reputable companies too. You will be familiar with some reputable companies, our French fellow MEPs will be familiar with some reputable companies, but we must look carefully at exactly which companies do not fulfil requirements, and these must be struck off the list.	É que também há sociedades destas que são idóneas, a colega conhece algumas, os nosso colegas franceses também, mas a atenção que é preciso dar é no sentido de, aquelas que não preenchem os requisitos, serem eliminadas da lista de prestadores.
Finally, we should make it quite plain to Malta that if it wants to become a Member of this Community then by the time it accedes it must apply a standard in respect of registration and flag state control which completely fulfils our requirements, for the environment is a communal entity and not something that we can divide up!	Um último ponto: há que dizer com clareza a Malta que, se este país pretende tornar-se membro desta Comunidade, terá, até à sua adesão, de aplicar normas de registo de navios e controlo de pavilhões que satisfaçam os nossos requisitos, pois o ambiente que temos é de todos e não apenas de alguns!
Mr President, Commissioner, the Erika sank near my home and is still there, with 20 000 tonnes in its hold, the fate of which we are waiting to discover.	Senhor Presidente, Senhora Comissária, o Erika afundou-se em frente à minha terra e ainda lá está, com 20 000 toneladas a bordo, cujo destino aguardamos.
It could have sunk anywhere.	Poderia ter naufragado noutro local.
It happened to sink there, and Brittany, where I come from, should not apologise for the fact that geography has made it a peninsula, and the result is that it is often forced to clear up after shipwrecks.	Naufragou ali, por acaso, e a minha Bretanha natal não tem de se desculpar por ser uma península devido à sua geografia, pois é ela própria que, muitas vezes, salva os naufrágios.
My first thoughts are for the 26 Indian sailors, who were saved but of whom nothing has been said.	Estou a pensar, em primeiro lugar, nos 26 marítimos indianos, dos quais não se fala e que foram salvos.
There could have been deaths in this disaster and safety at sea means, above all, men' s lives.	Poderia ter havido mortos nesta catástrofe e a segurança marítima é, antes de mais, a vida dos homens.
By now they are far away.	Hoje já se encontram longe do local.
It is a miracle that they were saved.	É um milagre terem sido salvos.
So we are now experiencing the same thing that happened 20 years ago with the Amoco Cadiz; a wreck on the North coast, a wreck on the South coast, a wreck on the West coast.	Estamos a recomeçar, como há 20 anos, com o Amoco, com um acidente na costa norte, um acidente na costa sul, outro na costa oeste.
Things could well continue in the same way.	E a sucessão pode continuar.
Commissioner, as time is very short, I would like to pick out the seven points which we feel, and you have already mentioned some of them, are essential to work on: double-hulled vessels in our waters as soon as possible and the strictest possible state control of ports. In particular, we must ensure that classification societies are compelled to make their reports public, as currently, we do not have access to them.	Senhora Comissária, gostaria de referir rapidamente, já que aqui o tempo é contado, os sete pontos que nos parecem essenciais, alguns dos quais, aliás, a senhora Comissária citou: o casco duplo, o mais cedo possível, nas nossas águas; o controlo mais severo possível por parte do Estado do porto.
Then, sanctions must be harmonised between the 15 Member States; they should not be different, but the same throughout the Union.	Será necessário, nomeadamente, que as sociedades de classificação tenham a obrigação de publicar os seus relatórios, pois não os conhecemos.
We must be tougher on vessels flying flags of convenience, not because they are necessarily bad boats, but because amongst these boats there are many bad ones.	Depois, a harmonização das sanções entre os quinze Estados-Membros; as sanções não devem ser diferentes, mas as mesmas em toda a parte.
We must improve information on all of the world' s ships, but provision has already been made for this. We must also target those responsible and take a tougher line with them.	Há que ser mais rigoroso relativamente aos pavilhões de conveniência, não porque se trate, forçosamente, de más embarcações, mas porque há muitas embarcações más entre as que arvoram pavilhão de conveniência; melhorar a informação sobre todos os navios do mundo, mas isto já está previsto; determinar cuidadosamente e tornar mais rigorosa a responsabilidade.
With regard to this matter, I would like to know who owns the Erika, because the idea of a legal person under our law is one thing, but there are always real shareholders in the background. Where are the Erika' s owners?	A propósito, gostaria de saber quem é o proprietário do Erika, pois a noção de pessoa colectiva no nosso direito é uma coisa, mas há sempre accionistas físicos por trás; onde estão os proprietários do Erika ?
Perhaps they are in lovely villas by lovely beaches, getting a nice tan.	Talvez em belas casas de praia, a bronzear-se.
We would like to know their names and their faces.	Gostaríamos de conhecer os seus nomes e caras.
Finally, there must be improvements in the training of crews.	E, finalmente, a melhoria da formação das tripulações.
In our society there is no such thing as zero-risk, but we must at least ensure the greatest possible levels of safety.	Não há risco zero na nossa sociedade, deve haver, no mínimo, uma precaução máxima.
Mr President, I welcome the statement from the Commissioner.	Senhor Presidente, congratulo-me com a declaração da senhora Comissária.
Having spent a lot of time at sea myself I am well aware of the sea's power and destructive force, which make a proper design and maintenance of ships and boats essential.	Tendo passado bastante tempo no mar, conheço bem o poder e a força destrutiva do mesmo, que torna essencial a concepção e manutenção adequadas de navios e peças.
I would like to express my sympathy with all those who are dealing with the consequences of the breaking up and sinking of the oil tanker Erika.	Gostaria de manifestar a minha solidariedade a todos quantos fazem face as consequências da ruptura e naufrágio do petroleiro Erika.
This has been an environmental disaster as well as a deplorable waste of resources.	Tratou-se de um desastre ambiental e de um desperdício deplorável de recursos.
It should be noted that the oil industry, through the International Oil Pollution Compensation Funds, regards itself as liable under the 1969 Convention and its 1992 Protocol, for over 90% of the estimated cost of this incident, or some USD 170 million.	Dever-se-á notar que a indústria petrolífera, através do Fundo Compensatório Internacional para a Poluição Causada pelo Petróleo, se considera responsável, nos termos da Convenção de 1969 e do respectivo protocolo de 1992, por mais de 90% do custo estimado deste acidente, cerca de 170 milhões de dólares.
This suggests to me that we should also look to the shipowners, to the flag state and the inspection authorities to shoulder their share of the responsibility.	Isto sugere-me que deveremos também exigir aos armadores dos navios, ao país cujo pavilhão os navios arvoram e às autoridades de inspecção que assumam a sua quota-parte de responsabilidade.
However, before we rush in with a whole raft of new measures and new regulations, let us look carefully at the existing arrangements to be sure that they are being properly implemented.	No entanto, antes nos precipitarmos a apresentar mais uma revoada de novas medidas e novas disposições, deveremos verificar se as existentes estarão a ser correctamente aplicadas.
Better to heed calls to amend and improve existing legislation than to embark on new proposals.	É preferível apelar à alteração e melhoria da legislação existente do que embarcar na elaboração de novas propostas.
In that context I support calls to strengthen port state control to ensure full and effective inspection.	Neste contexto, apoio os apelos no sentido de que se reforce o controlo dos portos pelo Estado, por forma a garantir uma inspecção total e eficaz.
I support calls to ensure that the classification societies effectively monitor vessels' structural conditions and are held accountable for their actions.	Apoio os apelos no sentido de que as sociedades de classificação supervisionem eficazmente as condições estruturais dos navios e sejam responsabilizadas pelos seus actos.
Calls for design improvements in hull construction, especially double-hulled vessels, are sensible but take time to be implemented throughout the fleet.	Os pedidos de medida no que visem a melhoria da concepção e construção dos cascos, sobretudo através da construção de navios de casco duplo, são sensatos, mas requerem tempo, a fim de poderem ser implementadas em toda a frota.
They are no substitute for rigorous regular inspection.	Não substituem a inspecção regular rigorosa.
Mr President, I would like to thank my Socialist colleagues, mainly in the committees on transport and the environment, who have not forgotten that this disaster also affects the fishing industry.	Senhor Presidente, desejo agradecer aos meus colegas socialistas, designadamente da Comissão da Política Regional, dos Transportes e do Turismo e da Comissão do Meio Ambiente, da Saúde Pública e da Política do Consumidor, o facto de não terem esquecido que esta catástrofe afecta também o sector da pesca.
Because, as well as the irreparable damage to the environment, the damage to the ecosystem and losses in the tourist industry, the oil slick dealt a huge blow to the fishing industry, to the conservation of marine resources, and the damaged coast lines will take years to recover.	Com efeito, além dos danos irreparáveis causados ao ambiente, dos danos causados ao ecossistema e das perdas que causa ao sector turístico, a maré negra constitui um golpe para a pesca, para a conservação dos recursos do meio marinho, e será preciso decorrerem longos anos até o litoral danificado poder recuperar totalmente.
It is no accident, Commissioner, that the affected areas are always those European regions which are least developed, those which eke out a meagre existence from tourism and fishing and which, in the majority of cases, do not have any other resources.	Não é uma coincidência, Senhora Comissária, o facto de as zonas afectadas serem sempre as regiões europeias que acusam atrasos de desenvolvimento mais acentuados, aquelas que vivem parcamente do binómio turismo/pesca e que não dispõem, na maioria dos casos, de alternativas para a sua economia.
These are the same areas, Commissioner, which already have to put up with the disrespectful activities of certain shipowners who empty the bilges of their vessels off their coasts, without any control whatsoever.	São as mesmas regiões, Senhora Comissária, que são já obrigadas a sofrer os efeitos, durante todo o ano, de práticas sem escrúpulos por parte de certos armadores que limpam os fundos do navios em frente às suas costas, longe de qualquer acção de inspecção.
I come from a region, Galicia, which has suffered similar accidents in the past.	Sou de uma região, a Galiza, que sofreu no passado as consequências de acidentes similares.
Brittany and Galicia, two European 'Lands Ends' , fall constant prey to the irresponsibility of those who prefer not to comply with safety regulations and transport crude oil in vessels which in themselves constitute potential oil slicks.	A Bretanha e a Galiza, as duas finisterras europeias, são vítimas permanentes da irresponsabilidade daqueles que preferem infringir as normas de segurança e transportar crude em embarcações que são, por si só, potenciais marés negras.
I therefore believe that it is necessary to act in two ways.	Face ao sucedido, penso que é necessário actuar em dois sentidos.
On the one hand, by asking the Commission, within the scope of aid to the fishing industry, to implement special measures to compensate for the effects of this catastrophe on the industry in the areas affected, and also by asking them to demand, of international bodies and of themselves, tight controls on ships which sail under flags of convenience.	Por um lado, instar a Comissão a aprovar, no âmbito das medidas previstas para o sector da pesca, medidas especiais para paliar os efeitos desta catástrofe sobre o sector produtivo das zonas afectadas e, por outro, solicitar-lhe que exija às organizações internacionais e a si própria a aplicação de um controlo rigoroso aos navios que arvoram pavilhões de conveniência.
In this regard, the current process of negotiations on Malta' s accession to the European Union must be used to ensure that this country rigorously monitors the oil tankers which sail under its flag.	Neste sentido, o actual processo de negociação para a adesão de Malta à União Europeia deverá servir para exigir a este país a realização de controlos rigorosos aos petroleiros que arvoram o seu pavilhão.
On the other hand, prevention is essential.	Por outro lado, importa prevenir.
Portugal is a country which has clearly demonstrated its sensitivity to issues relating to the sea.	Portugal é um país que demonstrou sobejamente a sua sensibilidade em relação aos temas relacionados com o mar.
I would ask the Portuguese Presidency to study the possibility of implementing a complete strategy for the prevention of maritime accidents at European level, using all the means at our disposal - technological, structural and socio-economic - to prevent a disaster such as this from happening again in the future.	Convidaria a Presidência portuguesa a estudar a possibilidade de implementar uma estratégia integrada de prevenção de acidentes marítimos a nível europeu, disponibilizando todos os meios de que já dispomos - tecnológicos, estruturais e sócio-económicos - com vista a evitar que, futuramente, se assista a uma catástrofe destas dimensões.
Lastly, Mr President, I would like to highlight the work carried out by the volunteers and local authorities, who reminded me of old times when, as the then Mayoress, I lived through similar situations.	Por último, Senhor Presidente, desejo salientar o trabalho empreendido pelos voluntários e pelas autoridades locais, que me fazem lembrar velhos tempos em que - era eu então Presidente de Câmara - vivi situações semelhantes.
We must thank those who, while defenceless and lacking in resources, have battled courageously against the grave effects that this disaster has had on coastal regions, the marine ecosystem and European fishing stocks.	É necessário agradecer àqueles que, sem protecção e sem meios, lutaram corajosamente contra os graves efeitos deste desastre tão nefasto para as regiões costeiras, para o ecossistema e para os recursos haliêuticos europeus.
Mr President, as chairman of the Committee on Regional Policy, Transport and Tourism, I should like to congratulate the Commission, and in particular Commissioner Loyola de Palacio, for her reaction to this incident, which has really shaken the whole of Europe.	Senhor Presidente, na qualidade de presidente da Comissão da Política Regional, dos Transportes e do Turismo, gostaria de felicitar a Comissão, e em especial a senhora Comissária Loyola de Palacio, pela sua reacção a esta questão que na realidade tem agitado toda a Europa.
We, as the Committee on Transport, are prepared to discuss the Commission communication on the question of safety at sea and, of course, we are likewise prepared to discuss, at a later date, the legal implications of this communication.	Nós, enquanto Comissão da Política Regional, dos Transportes e do Turismo, estamos dispostos a debater a comunicação da Comissão sobre as questões da segurança marítima e, evidentemente, estamos também dispostos a debater mais tarde as implicações da análise desta comunicação a nível jurídico.
In addition, I should like to make a number of comments:	Posto isto, gostaria de fazer algumas observações:
First, the Commission was right to concentrate its investigation on the liability of RINA, the Italian shipping register, because we need to know if Community law was applied.	Em primeiro lugar, a Comissão concentrou acertadamente o seu estudo nas responsabilidades do organismo de classificação italiano, a sociedade RINA, porque teremos de ver se o direito comunitário foi aplicado.
That should be the starting point for our efforts.	Depois disso deveremos dar início ao nosso trabalho.
Secondly, apart from the shipowners' liability, it would be a good idea in such cases to examine the liability of the charterers, for example the oil companies which are also responsible for causing ecological disasters like this and, of course, for restoring the damage.	Em segundo lugar, para além das responsabilidades dos armadores, seria bom vermos também, neste tipo de casos, as responsabilidades dos fretadores, por exemplo, das empresas petrolíferas que são responsáveis não só pela ocorrência de catástrofes ecológicas como esta, mas também, evidentemente, pela reparação dos danos causados.
Once we have done that, our reaction to the ecological disaster is fully justified.	Depois disto, a reacção perante a catástrofe ecológica é absolutamente justificada.
However, this should not lead us to accuse the whole merchant marine, which is an important sector of the economy, covering as it does 1/3 of transport requirements, which is why our reaction needs to be measured: strict, but correct.	Não deverá, porém, levar-nos a incriminar toda a marinha mercante, que é um sector importante para a economia, uma vez que cobre cerca de 1/3 dos transportes, e por esse motivo as nossas reacções terão de ser ponderadas, severas, mas também correctas.
I have no objection to examining an amendment making Community law stricter but, as other members have stressed, we need to start with application, because there is already a legal framework at European Union level and we must not lose sight of that fact.	Não me oponho de forma alguma ao estudo da alteração do direito comunitário no sentido de o tornar mais rigoroso mas, como frisaram alguns colegas, deveremos começar pela sua aplicação, pois já existe um quadro jurídico a nível da União Europeia - e isso não podemos esquecer de forma alguma.
This legal framework is fairly advanced, at least if you compare it with what is happening at worldwide level and the Member States, under the supervision of the Commission, should endeavour to ensure that Community law is actually applied.	Esse quadro jurídico é bastante avançado - pelo menos se o compararmos com o que existe a nível mundial - e, consequentemente, os Estados-Membros, também com a supervisão da Comissão, têm o dever de começar a esforçar-se por aplicar efectivamente o direito comunitário.
Mr President, Commissioner, I believe that the unfortunate incident involving the Erika should in fact, as others have said this afternoon, constitute a decisive watershed which will see the end to this type of accident in the European Union where, since 1967, there have been seventeen accidents involving large oil tankers; more than one every two years.	Senhor Presidente, Senhora Comissária, penso que o deplorável incidente do navio Erika deveria, como aliás foi já aqui dito esta tarde, constituir um ponto de viragem, marcando um "antes" e um "depois" na história deste tipo de acidentes na União Europeia, que registou, desde 1967, dezassete acidentes com grandes petroleiros, ou seja, uma média superior a um acidente num período de dois anos.
The economic and social damage, which we have spoken about today, in terms of the loss of jobs and fishing and tourist resources, is so great that they fully justify decisive and thorough action on the part of the Community institutions.	Os danos sociais e económicos, já aqui aludidos no debate de hoje, traduzidos tanto em perda de emprego como de recursos haliêuticos e turísticos, têm proporções tais que justificam largamente uma intervenção decidida e contundente por parte das instituições comunitárias.
Commissioner, I would also like to thank you for the speedy response of your department to this event and the measures which are being adopted and implemented.	Também eu, Senhora Comissária, gostaria de lhe agradecer a resposta rápida por parte do seu gabinete a este acidente e as medidas que estão já a ser tomadas e implementadas.
I trust that these measures will, in a few months, give rise to a clear and convincing legal instrument - a directive, possibly - which will put an end, once and for all, to these 21st Century pirates, who deprive us all of the wealth and beauty of the sea.	Estou convencida de que estas medidas darão lugar, dentro de poucos meses, a um instrumento jurídico claro e contundente - uma directiva, provavelmente - que ponha definitivamente cobro a estes piratas do século XXI, que arrebatam a todos nós a riqueza e a beleza do mar.
I would like to comment on one of the measures to be taken, which was mentioned by the Commissioner and some of my colleagues.	Gostaria de fazer uma observação, no seguimento de uma das medidas que serão tomadas e que foram referidas pela Comissária e por vários dos intervenientes no debate.
I am referring to the double hull, which consists of two layers of steel, with containers divided into two tanks.	Refiro-me à estrutura de casco duplo, que consiste numa dupla camada de aço, com depósitos divididos em duas cisternas.
Commissioner, there are many experts who consider that the double hull is not sufficiently safe and propose the so-called 'ecological hull' in which case, in the event of an accident, the seawater penetrates the containers and, as a result of pressure, the oil is transferred to other tanks.	Senhora Comissária, são numerosos os peritos que aferem como insuficientemente seguro o casco duplo e propõem o chamado "casco ecológico"; com esta última estrutura, em caso de acidente, a água do mar penetra nos depósitos e, devido à pressão, o petróleo é transferido para outros tanques.
Commissioner, I believe that it is time to opt for the safest technically possible measures.	Penso, Senhora Comissária, que é chegado o momento de apostar em medidas o mais seguras possível em termos técnicos.
It is therefore not sufficient to merely reproduce the legislation in force in other countries.	Penso, neste sentido, que não devemos limitar-nos a reproduzir a legislação vigente noutros países.
I believe that we can and must improve the existing legislation in this regard.	Penso que podemos, e devemos, melhorar a legislação existente na matéria.
Any cost-benefit analysis which truly takes into account all the harm occasioned to persons and the environment by these accidents, is bound to support this approach.	Qualquer análise custos/benefícios que contabilize efectivamente os danos causados às populações e ao ambiente por este tipo de acidentes provará que a razão está do nosso lado.
Mr President, Commissioner, I think that first we should all congratulate ourselves on the procedure that has been adopted and which will lead us, after each of our respective political groups has rallied together and expressed its feelings, finally to produce a joint resolution.	Senhor Presidente, Senhora Comissária, caros colegas, gostaria, antes de mais, que nos congratulássemos com o procedimento que foi decidido e que nos leva, depois de cada um dos nossos grupos políticos respectivamente se ter mobilizado, ter manifestado a sua emoção, a finalmente elaborar uma resolução comum.
I think that given the dramatic circumstances, and as a matter of principle, it would be ill-advised and inappropriate to hold several votes.	Creio que, nestas dramáticas circunstâncias, seria incompreensível e indecente, do ponto de vista dos princípios, que nos manifestássemos a várias vozes.
On the other hand, Parliament is issuing a resolution in one vote, for which we can see the agreement amongst the various speakers who have preceded me. I think that this is an opportunity to put parliamentary pressure on the doubts or evasions of a few governments and I think that we are providing the Commission with a powerful political act for the preparation of a European maritime area.	Por outro lado, o facto de o Parlamento aprovar hoje, a uma só voz, uma resolução, a propósito da qual se verificou a convergência entre os vários oradores que me precederam é, segundo creio, uma ocasião a aproveitar para que as dúvidas ou esquivas de alguns governos sejam, talvez, sujeitas a pressão parlamentar e é, em minha opinião, um acto político muito forte que colocamos nas mãos da Comissão para preparar um espaço marítimo europeu.
